LSTAT,RM
6.56,6.718
5.9,6.487
3.59,6.438
3.53,6.957
3.54,8.259
6.57,6.108
9.25,5.876
3.11,7.454
5.12,8.704
7.79,7.333
6.9,6.842
9.59,7.203
7.26,7.52
5.91,8.398
11.25,7.327
8.1,7.206
10.45,5.56
14.79,7.014
7.44,8.297
3.16,7.47
13.65,5.92
13.0,5.856
6.59,6.24
7.73,6.538
6.58,7.691
3.53,6.758
2.98,6.854
6.05,7.267
4.16,6.826
7.19,6.482
4.85,6.812
3.76,7.82
4.59,6.968
3.01,7.645
3.16,7.923
7.85,7.088
8.23,6.453
12.93,6.23
7.14,6.209
7.6,6.315
9.51,6.565
3.33,6.861
3.56,7.148
4.7,6.63
8.58,6.127
10.4,6.009
6.27,6.678
7.39,6.549
15.84,5.79
4.97,6.345
4.74,7.041
6.07,6.871
9.5,6.59
8.67,6.495
4.86,6.982
6.93,7.236
8.93,6.616
6.47,7.42
7.53,6.849
4.54,6.635
9.97,5.972
12.64,4.973
5.98,6.122
11.72,6.023
7.9,6.266
9.28,6.567
11.5,5.705
18.33,5.914
15.94,5.782
10.36,6.382
12.73,6.113
7.2,6.426
6.87,6.376
7.7,6.041
11.74,5.708
6.12,6.415
5.08,6.431
6.15,6.312
12.79,6.083
9.97,5.868
7.34,6.333
9.09,6.144
12.43,5.706
7.83,6.031
5.68,6.316
6.75,6.31
8.01,6.037
9.8,5.869
10.56,5.895
8.51,6.059
9.74,5.985
9.29,5.968
5.49,7.241
8.65,6.54
7.18,6.696
4.61,6.874
10.53,6.014
12.67,5.898
6.36,6.516
5.99,6.635
5.89,6.939
5.98,6.49
5.49,6.579
7.79,5.884
4.5,6.728
8.05,5.663
5.57,5.936
17.6,6.212
13.27,6.395
11.48,6.127
12.67,6.112
7.79,6.398
14.19,6.251
10.19,5.362
14.64,5.803
5.29,8.78
7.12,3.561
14.0,4.963
13.33,3.863
3.26,4.97
3.73,6.683
2.96,7.016
9.53,6.216
8.88,5.875
34.77,4.906
37.97,4.138
13.44,7.313
23.24,6.649
21.24,6.794
23.69,6.38
21.78,6.223
17.21,6.968
21.08,6.545
23.6,5.536
24.56,5.52
30.63,4.368
30.81,5.277
28.28,4.652
31.99,5.0
30.62,4.88
20.85,5.39
17.11,5.713
18.76,6.051
25.68,5.036
15.17,6.193
16.35,5.887
17.12,6.471
19.37,6.405
19.92,5.747
30.59,5.453
29.97,5.852
26.77,5.987
20.32,6.343
20.31,6.404
19.77,5.349
27.38,5.531
22.98,5.683
23.34,4.138
12.13,5.608
26.4,5.617
19.78,6.852
10.11,5.757
21.22,6.657
34.37,4.628
20.08,5.155
36.98,4.519
29.05,6.434
25.79,6.782
26.64,5.304
20.62,5.957
22.74,6.824
15.02,6.411
15.7,6.006
14.1,5.648
23.29,6.103
17.16,5.565
24.39,5.896
15.69,5.837
14.52,6.202
21.52,6.193
24.08,6.38
17.64,6.348
19.69,6.833
12.03,6.425
16.22,6.436
15.17,6.208
23.27,6.629
18.05,6.461
26.45,6.152
34.02,5.935
22.88,5.627
22.11,5.818
19.52,6.406
16.59,6.219
18.85,6.485
23.79,5.854
23.98,6.459
17.79,6.341
16.44,6.251
18.13,6.185
19.31,6.417
17.44,6.749
17.73,6.655
17.27,6.297
16.74,7.393
18.71,6.728
18.13,6.525
19.01,5.976
16.94,5.936
16.23,6.301
14.7,6.081
16.42,6.701
14.65,6.376
13.99,6.317
10.29,6.513
13.22,6.209
14.13,5.759
17.15,5.952
21.32,6.003
18.13,5.926
14.76,5.713
16.29,6.167
12.87,6.229
14.36,6.437
11.66,6.98
18.14,5.427
24.1,6.162
18.68,6.484
24.91,5.304
18.03,6.185
13.11,6.229
10.74,6.242
7.74,6.75
7.01,7.061
10.42,5.762
13.34,5.871
10.58,6.312
14.98,6.114
11.45,5.905
18.06,5.454
23.97,5.414
29.68,5.093
18.07,5.983
13.35,5.983
12.01,5.707
13.59,5.926
17.6,5.67
21.14,5.39
14.1,5.794
12.92,6.019
15.1,5.569
14.33,6.027
9.67,6.593
9.08,6.12
5.64,6.976
6.48,6.794
7.88,6.03
